Observations / Segmentation Variables,X1-Innovator,X2-Use Message,X3-Use Cell,X4-Use PIM,X5-Inf Passive,X6-Inf Active,X7-Remote Access,X8-Share Inf,X9-Monitor,X10-Email,X11-Web,X12-Mmedia,X13-Ergonomic,X14-Monthly,X15-Price,Z1-Age,Z2-Education,Z3-Income,Z4-Construction,Z5-Emergency,Z6-Sales,Z7-Service,Z8-Professional,Z9-Computers,Z10-PDA,Z11-Cell,Z12-PC,Z13-Away,Z14-Business Week,Z15-PC Magazine,Z16-Field & Stream,Z17-Mgourmet
1,4,1,5,7,4,6,3,1,4,5,5,6,4,15,280,48,3,47,0,0,0,0,0,0,1,1,1,3,0,0,0,0
2,5,4,7,5,6,5,6,5,4,7,3,6,1,15,310,43,3,89,0,0,0,1,0,0,0,1,1,3,1,0,0,0
3,3,5,5,6,3,4,7,6,4,4,4,6,3,35,370,48,2,24,0,0,0,0,0,1,1,1,1,6,0,0,0,0
4,3,1,6,7,5,7,3,4,4,4,7,5,5,15,390,28,3,52,0,0,1,0,0,0,1,1,1,7,0,0,0,0
5,4,1,6,7,7,5,5,5,2,7,5,5,4,25,410,54,3,84,0,0,0,0,0,1,1,1,1,2,1,0,0,0
6,5,3,5,7,3,7,4,6,5,6,7,6,3,40,250,62,2,46,0,0,1,0,0,0,0,1,1,4,0,0,0,0
7,5,5,5,6,6,4,3,3,4,6,5,7,4,20,310,53,3,71,0,0,1,0,0,0,0,0,1,6,0,0,0,0
8,3,1,5,5,6,5,4,3,4,7,4,7,1,15,230,48,2,39,0,0,1,0,0,0,0,1,1,3,0,0,0,0
9,6,5,5,7,3,7,1,3,2,6,4,6,3,15,240,46,3,87,0,0,0,0,1,0,0,1,1,4,0,0,0,0
10,2,2,7,5,4,5,5,4,6,4,6,5,3,25,290,59,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
11,4,5,7,6,5,7,2,2,6,7,6,6,4,20,230,53,3,76,0,0,1,0,0,0,1,1,1,4,0,0,0,0
12,4,3,5,6,7,3,3,5,4,7,6,5,6,15,160,21,3,63,0,0,1,0,0,0,0,1,1,6,0,0,0,0
13,4,4,5,7,7,7,4,1,7,7,3,6,4,30,100,54,3,53,0,1,0,0,0,0,0,1,1,4,1,0,0,0
14,3,3,5,5,5,6,2,7,2,4,6,6,3,20,210,41,3,81,0,0,1,0,0,0,0,1,1,4,0,0,0,0
